time,ансамбль 60/120/250,один N=60,один N=120,один N=250,всегда лонг (вол-норм.),B&H равные доли
2025-06-19,1.5187565575707485,2.080123973694445,1.9503746252035365,0.9986439255039496,1.2768244387530614,1.1253199447824238
2025-06-20,1.520250219485853,2.0837474402637377,1.9491397515801825,1.0021239083217772,1.2722033418231742,1.116341387572121
2025-06-23,1.5205285560276531,2.083225420142998,1.9505276534768035,1.0012795186794197,1.274414787320988,1.1207796065588433
2025-06-24,1.5148651398286082,2.068414714601384,1.93461990022283,1.005371788588809,1.2644759867692417,1.1011072794332923
2025-06-25,1.5132713845075896,2.0635717492553254,1.9375577634092582,1.0030258379470829,1.2681749092235597,1.109069611338844
2025-06-26,1.5104980866530624,2.0604062035321635,1.9330088085399182,1.0014047862179372,1.270033832557843,1.1114014516338924
2025-06-27,1.5101859018850958,2.0599010348387545,1.9337091696797188,1.0006658710039846,1.2679760968592682,1.1080113807221401
2025-06-30,1.5080803913360938,2.0575103204299983,1.9333722522451753,0.997816186641187,1.2722628312985567,1.1155017347407497
2025-07-01,1.508874989223187,2.057608836635362,1.935772593137906,0.9981068194151217,1.275304514984103,1.1192776253991505
2025-07-02,1.509024263593333,2.0564142778686274,1.9346844801519538,0.999536647517454,1.2735719707469968,1.115397412550276
2025-07-03,1.5054618319286577,2.053612950982379,1.9308361241032233,0.9964023574281659,1.2765403201850312,1.119935450430688
2025-07-04,1.507850542014391,2.0552187131351127,1.9330720803270343,0.9992123538053017,1.2731511442662713,1.1148597090207695
2025-07-07,1.5179084190264978,2.067102802822289,1.9426078570303185,1.0084860510559472,1.2607994126948847,1.101644114693437
2025-07-08,1.5180187579303899,2.0688072046847163,1.9429890354720951,1.007383451713349,1.2607930035433441,1.1025140478277382
2025-07-09,1.5199677341729307,2.0672134474623114,1.9404197840650388,1.0134067814226049,1.2538787358453882,1.0907927286042673
2025-07-10,1.5177362048829786,2.063752817244278,1.9404345455609904,1.010507714023924,1.2580214982949585,1.0964150006693367
