strategy,symbol,level_step_frac,touch_threshold,train_total_return_%,train_buy_hold_%,train_sharpe,train_max_drawdown_%,train_trades,train_win_rate_%,test_total_return_%,test_buy_hold_%,test_sharpe,test_max_drawdown_%,test_trades,test_win_rate_%,rsi_period,pivot_order,max_pivot_gap,window,entry_z,exit_z,min_corr
rsi_divergence,aapl.us,,,3.404975823154044,190.53304653234076,0.15997213564068435,-19.659385010557695,3,0.0,13.100041972638476,45.94331891211954,0.9541117227466449,-10.192377952296972,1,0.0,21.0,3.0,90.0,,,,
correlation,btc.v,,,5.005634383621671,754.9764529929395,0.15376352589974654,-29.892482035636945,19,42.10526315789473,5.892273244785096,15.517794081321235,0.3349848537375065,-14.697617607694957,3,33.33333333333333,,,,50.0,2.0,0.0,0.7
correlation,btc.v,,,5.4123680191094925,754.9764529929395,0.15272299262630057,-24.560377330317205,15,33.33333333333333,-11.618018019241905,15.517794081321235,-1.1424120785578862,-13.315715372976001,4,25.0,,,,30.0,2.5,1.0,0.7
round_numbers,btc.v,0.02,0.01,-7.366012714063109,754.9764529929395,0.1500731782723502,-58.930408339539476,261,42.911877394636015,21.45590022890227,15.517794081321235,0.5124157193153841,-26.227212926972644,49,55.10204081632652,,,,,,,
correlation,btc.v,,,1.0420163961229134,754.9764529929395,0.12145667302794655,-38.9754724894671,54,40.74074074074074,-17.332508743589948,15.517794081321235,-0.6549552543065775,-31.258435768111426,17,29.411764705882355,,,,20.0,1.5,1.0,0.7
correlation,btc.v,,,-3.558732642120399,754.9764529929395,0.11552692967218822,-50.13735574146382,51,31.372549019607842,-23.007366198562906,15.517794081321235,-0.8775877793187578,-34.582870449688784,9,11.11111111111111,,,,50.0,1.5,0.0,0.5
rsi_divergence,aapl.us,,,1.287236269670844,190.53304653234076,0.09136358223145538,-20.204903199943058,4,0.0,18.395705165409204,45.94331891211954,1.7745450262746738,-2.51968503937009,0,0.0,21.0,5.0,90.0,,,,
rsi_divergence,aapl.us,,,1.287236269670844,190.53304653234076,0.09136358223145538,-20.204903199943058,4,0.0,18.395705165409204,45.94331891211954,1.7745450262746738,-2.51968503937009,0,0.0,14.0,5.0,30.0,,,,
rsi_divergence,aapl.us,,,1.287236269670844,190.53304653234076,0.09136358223145538,-20.204903199943058,4,0.0,18.395705165409204,45.94331891211954,1.7745450262746738,-2.51968503937009,0,0.0,21.0,5.0,60.0,,,,
rsi_divergence,aapl.us,,,1.287236269670844,190.53304653234076,0.09136358223145538,-20.204903199943058,4,0.0,18.395705165409204,45.94331891211954,1.7745450262746738,-2.51968503937009,0,0.0,14.0,5.0,90.0,,,,
rsi_divergence,aapl.us,,,1.287236269670844,190.53304653234076,0.09136358223145538,-20.204903199943058,4,0.0,18.395705165409204,45.94331891211954,1.7745450262746738,-2.51968503937009,0,0.0,14.0,5.0,60.0,,,,
rsi_divergence,aapl.us,,,1.287236269670844,190.53304653234076,0.09136358223145538,-20.204903199943058,4,0.0,18.395705165409204,45.94331891211954,1.7745450262746738,-2.51968503937009,0,0.0,21.0,5.0,30.0,,,,
correlation,btc.v,,,-5.311324165091902,754.9764529929395,0.08598716696603208,-47.891813562814534,53,35.84905660377358,-27.55719253873954,15.517794081321235,-1.4193651795684006,-30.957438482663935,11,9.090909090909092,,,,50.0,1.5,1.0,0.5
correlation,btc.v,,,1.2453976335654815,754.9764529929395,0.08220647457679046,-24.959510905457837,7,42.857142857142854,-8.58599876436027,15.517794081321235,-0.7472224312477213,-13.904157373334558,2,0.0,,,,50.0,2.5,1.0,0.7
round_numbers,btc.v,0.05,0.001,-21.40938070253465,754.9764529929395,0.015912282174892354,-69.88076467941768,266,40.97744360902256,-34.71752538020611,15.517794081321235,-0.5822998430073966,-47.47566553650241,55,23.636363636363637,,,,,,,
round_numbers,btc.v,0.02,0.003,-20.975037268745478,754.9764529929395,0.007307098895140931,-66.63886818346234,300,44.666666666666664,-41.99224090841858,15.517794081321235,-1.1885041910416712,-47.08403630304719,124,45.96774193548387,,,,,,,
rsi_divergence,aapl.us,,,-1.8345207300362043,190.53304653234076,-0.020508955086735583,-24.043684765265116,4,0.0,0.0,45.94331891211954,0.0,0.0,0,0.0,7.0,7.0,30.0,,,,
correlation,btc.v,,,-17.763497767266067,754.9764529929395,-0.05322985332610174,-55.48488816862711,64,39.0625,-17.56644244257344,15.517794081321235,-0.6222803542090287,-31.258435768111504,18,33.33333333333333,,,,20.0,1.5,1.0,0.5
correlation,btc.v,,,-8.279263247763103,754.9764529929395,-0.09282044574117607,-28.402635871027705,7,28.57142857142857,-8.58599876436027,15.517794081321235,-0.7472224312477213,-13.904157373334558,2,0.0,,,,50.0,2.5,0.0,0.7
correlation,btc.v,,,-8.279263247763103,754.9764529929395,-0.09282044574117607,-28.402635871027705,7,28.57142857142857,-8.58599876436027,15.517794081321235,-0.7472224312477213,-13.904157373334558,2,0.0,,,,50.0,2.5,0.5,0.7
round_numbers,btc.v,0.02,0.001,-41.80692118074158,754.9764529929395,-0.223941414035756,-68.78856329749938,306,41.830065359477125,-38.651400218321086,15.517794081321235,-1.2192880480964032,-42.61775640146068,109,40.36697247706422,,,,,,,
correlation,btc.v,,,-32.662528133061265,754.9764529929395,-0.31108675347491876,-49.93532097037456,31,25.806451612903224,1.1112518088665535,15.517794081321235,0.10757874946784272,-14.697617607694957,3,33.33333333333333,,,,50.0,2.0,0.5,0.5
correlation,btc.v,,,-32.38901731932678,754.9764529929395,-0.32089450178689105,-53.18592355413152,31,29.03225806451613,-8.211717571665666,15.517794081321235,-0.48694644354708333,-14.697617607694957,3,0.0,,,,50.0,2.0,1.0,0.5
correlation,btc.v,,,-21.597409285467805,754.9764529929395,-0.32522159597165184,-41.89001286961004,13,23.076923076923077,-8.58599876436027,15.517794081321235,-0.7472224312477213,-13.904157373334558,2,0.0,,,,50.0,2.5,1.0,0.5
correlation,btc.v,,,-39.82844548259328,754.9764529929395,-0.406009447923502,-54.178270250089675,30,26.666666666666668,5.892273244785096,15.517794081321235,0.3349848537375065,-14.697617607694957,3,33.33333333333333,,,,50.0,2.0,0.0,0.5
correlation,btc.v,,,-28.97313308356322,754.9764529929395,-0.46654781657425687,-44.55630609146674,13,15.384615384615385,-8.58599876436027,15.517794081321235,-0.7472224312477213,-13.904157373334558,2,0.0,,,,50.0,2.5,0.0,0.5
correlation,btc.v,,,-28.97313308356322,754.9764529929395,-0.46654781657425687,-44.55630609146674,13,15.384615384615385,-8.58599876436027,15.517794081321235,-0.7472224312477213,-13.904157373334558,2,0.0,,,,50.0,2.5,0.5,0.5
